x;y
326;49
326;55
328;69
329;76
329;99
329;117
329;127
328;145
325;161
324;178
320;199
315;210
312;222
308;233
304;251
298;277
296;284
294;286
293;288
291;288
290;288
286;284
274;264
267;243
261;218
257;186
257;168
258;140
258;127
258;124
258;117
258;112
252;104
249;99
237;92
229;85
223;81
217;79
201;73
190;68
182;64
175;62
165;61
159;61
149;61
141;60
137;59
134;59
126;59
125;59
109;63
101;68
97;69
92;72
90;73
81;75
75;79
67;82
59;88
53;91
50;95
46;99
44;102
43;106
41;120
43;136
43;143
55;183
57;195
59;201
61;206
63;214
71;229
81;241
93;249
102;255
109;258
125;268
128;274
131;279
131;281
131;284
131;286
116;296
107;298
94;301
82;304
75;304
73;304
64;304
59;304
56;304
54;304
52;304
49;303
48;300
47;288
47;278
48;272
50;267
62;249
67;245
75;237
83;230
94;223
116;208
121;204
125;202
129;199
133;198
134;197
149;195
154;196
161;199
165;202
169;204
175;212
179;222
180;240
180;247
180;251
180;253
180;257
180;259
182;264
184;273
185;276
192;291
194;303
196;308
198;316
201;330
208;348
212;360
216;367
220;371
225;373
226;374
263;368
275;363
298;352
310;346
316;343
325;336
333;331
337;327
341;324
342;321
343;319
337;298
327;280
316;262
292;228
278;205
242;171
229;166
214;159
196;151
179;146
149;138
127;133
119;131
113;127
107;124
105;123
98;115
98;114
98;111
102;108
109;104
112;102
125;100
136;100
147;103
157;108
172;111
176;112
209;122
234;125
251;125
275;125
289;125
301;127
306;127
307;128
309;128
310;131
310;139
307;155
298;175
292;184
284;192
275;199
258;207
233;213
207;222
188;226
175;230
169;232
145;248
135;257
128;261
122;268
117;274
108;288
102;301
100;307
98;309
98;313
98;314
100;317
103;319
116;321
129;321
137;321
154;321
177;321
